14:13:11: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 48] Logger initialized
14:13:11: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 50] Heartbeat message received
14:13:12: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 50] Heartbeat message received
14:13:13: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 53] 1 heartbeat(s) missed
14:13:13: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive Heartbeat
14:13:13: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 50] Heartbeat message received
14:13:14: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 50] Heartbeat message received
14:13:15: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 53] 1 heartbeat(s) missed
14:13:15: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive Heartbeat
14:13:15: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 50] Heartbeat message received
14:13:16: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 53] 1 heartbeat(s) missed
14:13:16: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive Heartbeat
14:13:17: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 53] 2 heartbeat(s) missed
14:13:17: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive Heartbeat
14:13:18: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 53] 3 heartbeat(s) missed
14:13:18: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive Heartbeat
14:13:19: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 53] 4 heartbeat(s) missed
14:13:19: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive Heartbeat
14:13:20: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 53] 5 heartbeat(s) missed
14:13:20: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 56] Drone Disconnected
14:13:20: [WARNING] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive Heartbeat
